--- Schema for profiles ---
Field: id                   Type: bigint(20)           Null: NO    Key: PRI   Default:                 Extra: auto_increment
Field: created_at           Type: timestamp            Null: YES   Key:       Default:                 Extra: 
Field: updated_at           Type: timestamp            Null: YES   Key:       Default:                 Extra: 
Field: bio                  Type: varchar(255)         Null: YES   Key:       Default:                 Extra: 
Field: birthdate            Type: timestamp            Null: YES   Key:       Default:                 Extra: 
Field: age                  Type: bigint(20)           Null: YES   Key:       Default:                 Extra: 
Field: fully_onboarded      Type: tinyint(1)           Null: NO    Key:       Default: 0               Extra: 
Field: phone_number_e164    Type: varchar(255)         Null: YES   Key:       Default:                 Extra: 
Field: country_code         Type: varchar(255)         Null: YES   Key:       Default:                 Extra: 
Field: phone_verified       Type: tinyint(1)           Null: YES   Key:       Default:                 Extra: 
Field: stripe_id            Type: varchar(255)         Null: YES   Key: UNI   Default:                 Extra: 
Field: profile_profile_image Type: bigint(20)           Null: YES   Key: MUL   Default:                 Extra: 
Field: user_profile         Type: bigint(20)           Null: NO    Key: UNI   Default:                 Extra: 
