--- Schema for radacct ---
Field: radacctid            Type: bigint(21)           Null: NO    Key: PRI   Default:                 Extra: auto_increment
Field: acctsessionid        Type: varchar(64)          Null: NO    Key: MUL   Default:                 Extra: 
Field: acctuniqueid         Type: varchar(32)          Null: NO    Key: UNI   Default:                 Extra: 
Field: username             Type: varchar(64)          Null: NO    Key: MUL   Default:                 Extra: 
Field: realm                Type: varchar(64)          Null: YES   Key:       Default:                 Extra: 
Field: nasipaddress         Type: varchar(15)          Null: NO    Key: MUL   Default:                 Extra: 
Field: nasportid            Type: varchar(32)          Null: YES   Key:       Default:                 Extra: 
Field: nasporttype          Type: varchar(32)          Null: YES   Key:       Default:                 Extra: 
Field: acctstarttime        Type: datetime             Null: YES   Key: MUL   Default:                 Extra: 
Field: acctupdatetime       Type: datetime             Null: YES   Key:       Default:                 Extra: 
Field: acctstoptime         Type: datetime             Null: YES   Key: MUL   Default:                 Extra: 
Field: acctinterval         Type: int(12)              Null: YES   Key: MUL   Default:                 Extra: 
Field: acctsessiontime      Type: int(12) unsigned     Null: YES   Key: MUL   Default:                 Extra: 
Field: acctauthentic        Type: varchar(32)          Null: YES   Key:       Default:                 Extra: 
Field: connectinfo_start    Type: varchar(50)          Null: YES   Key:       Default:                 Extra: 
Field: connectinfo_stop     Type: varchar(50)          Null: YES   Key:       Default:                 Extra: 
Field: acctinputoctets      Type: bigint(20)           Null: YES   Key:       Default:                 Extra: 
Field: acctoutputoctets     Type: bigint(20)           Null: YES   Key:       Default:                 Extra: 
Field: calledstationid      Type: varchar(50)          Null: NO    Key:       Default:                 Extra: 
Field: callingstationid     Type: varchar(50)          Null: NO    Key:       Default:                 Extra: 
Field: acctterminatecause   Type: varchar(32)          Null: NO    Key:       Default:                 Extra: 
Field: servicetype          Type: varchar(32)          Null: YES   Key:       Default:                 Extra: 
Field: framedprotocol       Type: varchar(32)          Null: YES   Key:       Default:                 Extra: 
Field: framedipaddress      Type: varchar(15)          Null: NO    Key: MUL   Default:                 Extra: 
Field: framedipv6address    Type: varchar(45)          Null: NO    Key: MUL   Default:                 Extra: 
Field: framedipv6prefix     Type: varchar(45)          Null: NO    Key: MUL   Default:                 Extra: 
Field: framedinterfaceid    Type: varchar(44)          Null: NO    Key: MUL   Default:                 Extra: 
Field: delegatedipv6prefix  Type: varchar(45)          Null: NO    Key: MUL   Default:                 Extra: 
